NR,NAME OF BOOK,WRITER(S),PLACE WRITTEN,WRITING COMPLETED (B.C.E.),TIME COVERED (B.C.E.)
1,Genesis,Moses,Wilderness,1513,“In the beginning” to 1657
2,Exodus,Moses,Wilderness,1512,1657-1512
3,Leviticus,Moses,Wilderness,1512,1 month (1512)
4,Numbers,Moses,Wilderness and Plains of Moab,1473,1512-1473
5,Deuteronomy,Moses,Plains of Moab,1473,2 months (1473)
6,Joshua,Joshua,Canaan,c. 1450,1473–c. 1450
7,Judges,Samuel,Israel,c. 1100,c. 1450–c. 1120
8,Ruth,Samuel,Israel,c. 1090,11 years of Judges’ rule
9,1 Samuel,Samuel; Gad; Nathan,Israel,c. 1078,c. 1180-1078
10,2 Samuel,Gad; Nathan,Israel,c. 1040,1077–c. 1040
11,1 Kings,Jeremiah,Judah,580,c. 1040-911
12,2 Kings,Jeremiah,Judah and Egypt,580,c. 920-580
13,1 Chronicles,Ezra,Jerusalem (?),c. 460,After 1 Chronicles9:44: c. 1077-1037
14,2 Chronicles,Ezra,Jerusalem (?),c. 460,c. 1037-537
15,Ezra,Ezra,Jerusalem,c. 460,537–c. 467
16,Nehemiah,Nehemiah,Jerusalem,a. 443,456–a. 443
17,Esther,Mordecai,"Shushan, Elam",c. 475,493–c. 475
18,Job,Moses,Wilderness,c. 1473,Over 140 years between 1657 and 1473
19,Psalms,David and others, ,c. 460, 
20,Proverbs,Solomon; Agur; Lemuel,Jerusalem,c. 717, 
21,Ecclesiastes,Solomon,Jerusalem,b. 1000, 
22,Song of Solomon,Solomon,Jerusalem,c. 1020, 
23,Isaiah,Isaiah,Jerusalem,a. 732,c. 778–a. 732
24,Jeremiah,Jeremiah,Judah; Egypt,580,647-580
25,Lamentations,Jeremiah,Near Jerusalem,607, 
26,Ezekiel,Ezekiel,Babylon,c. 591,613–c. 591
27,Daniel,Daniel,Babylon,c. 536,618–c. 536
28,Hosea,Hosea,Samaria (District),a. 745,b. 804–a. 745
29,Joel,Joel,Judah,c. 820 (?), 
30,Amos,Amos,Judah,c. 804, 
31,Obadiah,Obadiah, ,c. 607, 
32,Jonah,Jonah, ,c. 844, 
33,Micah,Micah,Judah,b. 717,c. 777-717
34,Nahum,Nahum,Judah,b. 632, 
35,Habakkuk,Habakkuk,Judah,c. 628 (?), 
36,Zephaniah,Zephaniah,Judah,b. 648, 
37,Haggai,Haggai,Jerusalem,520,112 days (520)
38,Zechariah,Zechariah,Jerusalem,518,520-518
39,Malachi,Malachi,Jerusalem,a. 443, 
40,Matthew,Matthew,Israel,c. 41,2 B.C.E.–33 C.E.
41,Mark,Mark,Rome,c. 60-65,29-33 C.E.
42,Luke,Luke,Caesarea,c. 56-58,3 B.C.E.–33 C.E.
43,John,Apostle John,"Ephesus, or near",c. 98,"After prologue, 29-33 C.E."
44,Acts,Luke,Rome,c. 61,33–c. 61 C.E.
45,Romans,Paul,Corinth,c. 56, 
46,1 Corinthians,Paul,Ephesus,c. 55, 
47,2 Corinthians,Paul,Macedonia,c. 55, 
48,Galatians,Paul,Corinth or Syrian Antioch,c. 50-52, 
49,Ephesians,Paul,Rome,c. 60-61, 
50,Philippians,Paul,Rome,c. 60-61, 
51,Colossians,Paul,Rome,c. 60-61, 
52,1 Thessalonians,Paul,Corinth,c. 50, 
53,2 Thessalonians,Paul,Corinth,c. 51, 
54,1 Timothy,Paul,Macedonia,c. 61-64, 
55,2 Timothy,Paul,Rome,c. 65, 
56,Titus,Paul,Macedonia (?),c. 61-64, 
57,Philemon,Paul,Rome,c. 60-61, 
58,Hebrews,Paul,Rome,c. 61, 
59,James,James (Jesus’ brother),Jerusalem,b. 62, 
60,1 Peter,Peter,Babylon,c. 62-64, 
61,2 Peter,Peter,Babylon (?),c. 64, 
62,1 John,Apostle John,"Ephesus, or near",c. 98, 
63,2 John,Apostle John,"Ephesus, or near",c. 98, 
64,3 John,Apostle John,"Ephesus, or near",c. 98, 
65,Jude,Jude (Jesus’ brother),Israel (?),c. 65, 
66,Revelation,Apostle John,Patmos,c. 96, 
